dtype,n,k,tokens,dist,min_m,max_m,avg_m,gflops,kernel
BS-FP8(E5M2),4096,6144,61440,imbalanced,960,15360,3840.0,2381400.0,cutlass3x_sm100_bstensorop_moe_gemm_ue8m0xe5m2_ue8m0xe5m2_f32_f16_e5m2_128x128x128_1x1x1_0_tnn_align16_mixed_cpasync_1sm
BS-FP8(E5M2),4096,6144,122880,uniform,7680,7680,7680.0,2404980.0,cutlass3x_sm100_bstensorop_moe_gemm_ue8m0xe5m2_ue8m0xe5m2_f32_f16_e3m2_128x128x128_1x1x1_0_tnn_align16_mixed_cpasync_1sm
BS-FP8(E5M2),4096,6144,122880,imbalanced,1933,30720,7680.0,1984480.0,cutlass3x_sm100_bstensorop_moe_gemm_ue8m0xe5m2_ue8m0xe5m2_f32_void_e5m2_128x128x128_1x1x1_0_tnn_align16_mixed_cpasync_1sm
BS-FP8(E5M2),4096,6144,245760,uniform,15360,15360,15360.0,2060880.0,cutlass3x_sm100_bstensorop_moe_gemm_ue8m0xe5m2_ue8m0xe5m2_f32_f16_e3m2_128x128x128_1x1x1_0_tnn_align16_mixed_cpasync_1sm
BS-FP8(E5M2),4096,6144,245760,imbalanced,3843,61440,15360.0,1804360.0,cutlass3x_sm100_bstensorop_moe_gemm_ue8m0xe5m2_ue8m0xe5m2_f32_void_e5m2_128x128x128_1x1x1_0_tnn_align16_mixed_cpasync_1sm
BS-FP8(E5M2),4096,6144,491520,uniform,30720,30720,30720.0,1852320.0,cutlass3x_sm100_bstensorop_moe_gemm_ue8m0xe5m2_ue8m0xe5m2_f32_f16_e3m2_128x128x128_1x1x1_0_tnn_align16_mixed_cpasync_1sm
BS-FP8(E5M2),4096,6144,491520,imbalanced,7680,122880,30720.0,1636030.0,cutlass3x_sm100_bstensorop_moe_gemm_ue8m0xe5m2_ue8m0xe5m2_f32_void_e5m2_128x128x128_1x1x1_0_tnn_align16_mixed_cpasync_1sm
BS-FP8(E5M2),6144,2048,30720,uniform,1920,1920,1920.0,2684680.0,cutlass3x_sm100_bstensorop_moe_gemm_ue8m0xe5m2_ue8m0xe5m2_f32_void_e5m2_128x128x128_1x1x1_0_tnn_align16_mixed_cpasync_1sm
BS-FP8(E5M2),6144,2048,30720,imbalanced,481,7680,1920.0,2585160.0,cutlass3x_sm100_bstensorop_moe_gemm_ue8m0xe5m2_ue8m0xe5m2_f32_f16_e3m2_128x128x128_1x1x1_0_tnn_align16_mixed_cpasync_1sm
BS-FP8(E5M2),6144,2048,61440,uniform,3840,3840,3840.0,2652590.0,cutlass3x_sm100_bstensorop_moe_gemm_ue8m0xe5m2_ue8m0xe5m2_f32_void_bf16_128x128x128_1x1x1_0_tnn_align16_mixed_cpasync_1sm
