dtype,n,k,tokens,dist,min_m,max_m,avg_m,gflops,kernel
BS-FP4(E2M1),4096,6144,30720,uniform,1920,1920,1920.0,4248400.0,cutlass3x_sm100_bstensorop_moe_gemm_ue8m0xe2m1_ue8m0xe2m1_f32_f16_e3m2_128x128x128_1x1x1_0_tnn_align32_mixed_cpasync_1sm
BS-FP4(E2M1),4096,6144,30720,imbalanced,482,7680,1920.0,4257140.0,cutlass3x_sm100_bstensorop_moe_gemm_ue8m0xe2m1_ue8m0xe2m1_f32_f16_e3m2_128x128x128_1x1x1_0_tnn_align32_mixed_cpasync_1sm
BS-FP4(E2M1),4096,6144,61440,uniform,3840,3840,3840.0,4143170.0,cutlass3x_sm100_bstensorop_moe_gemm_ue8m0xe2m1_ue8m0xe2m1_f32_f16_e3m2_128x128x128_1x1x1_0_tnn_align32_mixed_cpasync_1sm
BS-FP4(E2M1),4096,6144,61440,imbalanced,968,15360,3840.0,4340920.0,cutlass3x_sm100_bstensorop_moe_gemm_ue8m0xe2m1_ue8m0xe2m1_f32_f16_e3m2_128x128x128_1x1x1_0_tnn_align32_mixed_cpasync_1sm
BS-FP4(E2M1),4096,6144,122880,uniform,7680,7680,7680.0,3992050.0,cutlass3x_sm100_bstensorop_moe_gemm_ue8m0xe2m1_ue8m0xe2m1_f32_f16_e3m2_128x128x128_1x1x1_0_tnn_align32_mixed_cpasync_1sm
BS-FP4(E2M1),4096,6144,122880,imbalanced,2048,30720,7680.0,3822080.0,cutlass3x_sm100_bstensorop_moe_gemm_ue8m0xe2m1_ue8m0xe2m1_f32_f16_e3m2_128x128x128_1x1x1_0_tnn_align32_mixed_cpasync_1sm
BS-FP4(E2M1),4096,6144,245760,uniform,15360,15360,15360.0,3960280.0,cutlass3x_sm100_bstensorop_moe_gemm_ue8m0xe2m1_ue8m0xe2m1_f32_f16_e3m2_128x128x128_1x1x1_0_tnn_align32_mixed_cpasync_1sm
BS-FP4(E2M1),4096,6144,245760,imbalanced,3840,61440,15360.0,3109000.0,cutlass3x_sm100_bstensorop_moe_gemm_ue8m0xe2m1_ue8m0xe2m1_f32_f16_e3m2_128x128x128_1x1x1_0_tnn_align32_mixed_cpasync_1sm
BS-FP4(E2M1),4096,6144,491520,uniform,30720,30720,30720.0,3097410.0,cutlass3x_sm100_bstensorop_moe_gemm_ue8m0xe2m1_ue8m0xe2m1_f32_f16_e3m2_128x128x128_1x1x1_0_tnn_align32_mixed_cpasync_1sm
BS-FP4(E2M1),4096,6144,491520,imbalanced,8128,122880,30720.0,2992600.0,cutlass3x_sm100_bstensorop_moe_gemm_ue8m0xe2m1_ue8m0xe2m1_f32_f16_e5m2_128x128x128_1x1x1_0_tnn_align32_mixed_cpasync_1sm
BS-FP4(E2M1),6144,2048,30720,uniform,1920,1920,1920.0,3809410.0,cutlass3x_sm100_bstensorop_moe_gemm_ue8m0xe2m1_ue8m0xe2m1_f32_f16_e3m2_128x128x128_1x1x1_0_tnn_align32_mixed_cpasync_1sm
BS-FP4(E2M1),6144,2048,30720,imbalanced,486,7680,1920.0,3732970.0,cutlass3x_sm100_bstensorop_moe_gemm_ue8m0xe2m1_ue8m0xe2m1_f32_f16_e3m2_128x128x128_1x1x1_0_tnn_align32_mixed_cpasync_1sm
BS-FP4(E2M1),6144,2048,61440,uniform,3840,3840,3840.0,3879560.0,cutlass3x_sm100_bstensorop_moe_gemm_ue8m0xe2m1_ue8m0xe2m1_f32_f16_e3m2_128x128x128_1x1x1_0_tnn_align32_mixed_cpasync_1sm
BS-FP4(E2M1),6144,2048,61440,imbalanced,1041,15360,3840.0,3888870.0,cutlass3x_sm100_bstensorop_moe_gemm_ue8m0xe2m1_ue8m0xe2m1_f32_f16_e3m2_128x128x128_1x1x1_0_tnn_align32_mixed_cpasync_1sm
BS-FP4(E2M1),6144,2048,122880,uniform,7680,7680,7680.0,3982540.0,cutlass3x_sm100_bstensorop_moe_gemm_ue8m0xe2m1_ue8m0xe2m1_f32_f16_e3m2_128x128x128_1x1x1_0_tnn_align32_mixed_cpasync_1sm
BS-FP4(E2M1),6144,2048,122880,imbalanced,2064,30720,7680.0,3868480.0,cutlass3x_sm100_bstensorop_moe_gemm_ue8m0xe2m1_ue8m0xe2m1_f32_f16_e5m2_128x128x128_1x1x1_0_tnn_align32_mixed_cpasync_1sm
BS-FP4(E2M1),6144,2048,245760,uniform,15360,15360,15360.0,3709020.0,cutlass3x_sm100_bstensorop_moe_gemm_ue8m0xe2m1_ue8m0xe2m1_f32_f16_e3m2_128x128x128_1x1x1_0_tnn_align32_mixed_cpasync_1sm
BS-FP4(E2M1),6144,2048,245760,imbalanced,4018,61440,15360.0,3537260.0,cutlass3x_sm100_bstensorop_moe_gemm_ue8m0xe2m1_ue8m0xe2m1_f32_f16_e3m2_128x128x128_1x1x1_0_tnn_align32_mixed_cpasync_1sm
BS-FP4(E2M1),6144,2048,491520,uniform,30720,30720,30720.0,3622750.0,cutlass3x_sm100_bstensorop_moe_gemm_ue8m0xe2m1_ue8m0xe2m1_f32_f16_e3m2_128x128x128_1x1x1_0_tnn_align32_mixed_cpasync_1sm
BS-FP4(E2M1),6144,2048,491520,imbalanced,8954,122880,30720.0,3422710.0,cutlass3x_sm100_bstensorop_moe_gemm_ue8m0xe2m1_ue8m0xe2m1_f32_f16_e3m2_128x128x128_1x1x1_0_tnn_align32_mixed_cpasync_1sm
FP8-E4M3,4096,6144,30720,uniform,1920,1920,1920.0,2896340.0,cutlass3x_sm100_tensorop_moe_gemm_e4m3_e4m3_f32_bf16_e4m3_128x128x128_1x1x1_0_tnn_align16_mixed_cpasync_1sm
FP8-E4M3,4096,6144,30720,imbalanced,480,7680,1920.0,2861550.0,cutlass3x_sm100_tensorop_moe_gemm_e4m3_e4m3_f32_bf16_e4m3_128x128x128_1x1x1_0_tnn_align16_stream_k_mixed_cpasync_1sm
FP8-E4M3,4096,6144,61440,uniform,3840,3840,3840.0,2981560.0,cutlass3x_sm100_tensorop_moe_gemm_e4m3_e4m3_f32_bf16_e4m3_128x256x128_1x1x1_0_tnn_align16_mixed_cpasync_1sm
FP8-E4M3,4096,6144,61440,imbalanced,960,15360,3840.0,2668410.0,cutlass3x_sm100_tensorop_moe_gemm_e4m3_e4m3_f32_bf16_e4m3_128x256x128_1x1x1_0_tnn_align16_mixed_cpasync_1sm
FP8-E4M3,4096,6144,122880,uniform,7680,7680,7680.0,2599030.0,cutlass3x_sm100_tensorop_moe_gemm_e4m3_e4m3_f32_bf16_e4m3_128x256x128_1x1x1_0_tnn_align16_stream_k_mixed_cpasync_1sm
FP8-E4M3,4096,6144,122880,imbalanced,1933,30720,7680.0,2165580.0,cutlass3x_sm100_tensorop_moe_gemm_e4m3_e4m3_f32_bf16_e4m3_128x256x128_1x1x1_0_tnn_align16_mixed_cpasync_1sm
FP8-E4M3,4096,6144,245760,uniform,15360,15360,15360.0,2270810.0,cutlass3x_sm100_tensorop_moe_gemm_e4m3_e4m3_f32_bf16_e4m3_128x256x128_1x1x1_0_tnn_align16_mixed_cpasync_1sm
FP8-E4M3,4096,6144,245760,imbalanced,3843,61440,15360.0,1918860.0,cutlass3x_sm100_tensorop_moe_gemm_e4m3_e4m3_f32_bf16_e4m3_128x128x128_1x1x1_0_tnn_align16_stream_k_mixed_cpasync_1sm
FP8-E4M3,4096,6144,491520,uniform,30720,30720,30720.0,2153090.0,cutlass3x_sm100_tensorop_moe_gemm_e4m3_e4m3_f32_bf16_e4m3_128x256x128_1x1x1_0_tnn_align16_mixed_cpasync_1sm
FP8-E4M3,4096,6144,491520,imbalanced,7680,122880,30720.0,1699670.0,cutlass3x_sm100_tensorop_moe_gemm_e4m3_e4m3_f32_bf16_e4m3_128x128x128_1x1x1_0_tnn_align16_stream_k_mixed_cpasync_1sm
FP8-E4M3,6144,2048,30720,uniform,1920,1920,1920.0,2770340.0,cutlass3x_sm100_tensorop_moe_gemm_e4m3_e4m3_f32_bf16_e4m3_128x128x128_1x1x1_0_tnn_align16_stream_k_mixed_cpasync_1sm
FP8-E4M3,6144,2048,30720,imbalanced,481,7680,1920.0,2853620.0,cutlass3x_sm100_tensorop_moe_gemm_e4m3_e4m3_f32_bf16_e4m3_128x256x128_1x1x1_0_tnn_align16_stream_k_mixed_cpasync_1sm
FP8-E4M3,6144,2048,61440,uniform,3840,3840,3840.0,2992800.0,cutlass3x_sm100_tensorop_moe_gemm_e4m3_e4m3_f32_bf16_e4m3_128x256x128_1x1x1_0_tnn_align16_stream_k_mixed_cpasync_1sm
FP8-E4M3,6144,2048,61440,imbalanced,964,15360,3840.0,2801220.0,cutlass3x_sm100_tensorop_moe_gemm_e4m3_e4m3_f32_bf16_e4m3_128x256x128_1x1x1_0_tnn_align16_mixed_cpasync_1sm
FP8-E4M3,6144,2048,122880,uniform,7680,7680,7680.0,2778750.0,cutlass3x_sm100_tensorop_moe_gemm_e4m3_e4m3_f32_bf16_e4m3_128x256x128_1x1x1_0_tnn_align16_mixed_cpasync_1sm
FP8-E4M3,6144,2048,122880,imbalanced,1933,30720,7680.0,2586410.0,cutlass3x_sm100_tensorop_moe_gemm_e4m3_e4m3_f32_bf16_e4m3_128x256x128_1x1x1_0_tnn_align16_mixed_cpasync_1sm
FP8-E4M3,6144,2048,245760,uniform,15360,15360,15360.0,2666540.0,cutlass3x_sm100_tensorop_moe_gemm_e4m3_e4m3_f32_bf16_e4m3_128x256x128_1x1x1_0_tnn_align16_mixed_cpasync_1sm
FP8-E4M3,6144,2048,245760,imbalanced,3867,61440,15360.0,2324040.0,cutlass3x_sm100_tensorop_moe_gemm_e4m3_e4m3_f32_bf16_e4m3_128x256x128_1x1x1_0_tnn_align16_mixed_cpasync_1sm
FP8-E4M3,6144,2048,491520,uniform,30720,30720,30720.0,2360720.0,cutlass3x_sm100_tensorop_moe_gemm_e4m3_e4m3_f32_bf16_e4m3_128x256x128_1x1x1_0_tnn_align16_stream_k_mixed_cpasync_1sm
