dtype,config,n,k,tokens,dist,min_m,max_m,avg_m,cluster_m,cluster_n,raster,max_sm,use_pdl,gflops_1sm,gflops_2sm,gflops,kernel
RCGrouped-FP8,2SM,4096,6144,61440,uniform,3840,3840,3840.0,2,2,M,-1,0,2498480.0,3333880.0,3333880.0,92_blackwell_moe_gemm_rcgrouped
RCGrouped-FP8,1SM,4096,6144,61440,uniform,3840,3840,3840.0,2,2,M,-1,1,2495490.0,3354920.0,3354920.0,92_blackwell_moe_gemm_rcgrouped
RCGrouped-FP8,2SM,4096,6144,61440,uniform,3840,3840,3840.0,2,2,M,-1,1,2495490.0,3354920.0,3354920.0,92_blackwell_moe_gemm_rcgrouped
RCGrouped-FP8,1SM,4096,6144,61440,uniform,3840,3840,3840.0,4,2,M,-1,0,2513450.0,3310990.0,3310990.0,92_blackwell_moe_gemm_rcgrouped
RCGrouped-FP8,2SM,4096,6144,61440,uniform,3840,3840,3840.0,4,2,M,-1,0,2513450.0,3310990.0,3310990.0,92_blackwell_moe_gemm_rcgrouped
RCGrouped-FP8,1SM,4096,6144,61440,uniform,3840,3840,3840.0,4,2,M,-1,1,2530200.0,3320270.0,3320270.0,92_blackwell_moe_gemm_rcgrouped
RCGrouped-FP8,2SM,4096,6144,61440,uniform,3840,3840,3840.0,4,2,M,-1,1,2530200.0,3320270.0,3320270.0,92_blackwell_moe_gemm_rcgrouped
RCGrouped-FP8,1SM,4096,6144,61440,imbalanced,968,15360,3840.0,1,1,M,-1,0,2617980.0,0.0,2617980.0,92_blackwell_moe_gemm_rcgrouped
RCGrouped-FP8,1SM,4096,6144,61440,imbalanced,968,15360,3840.0,1,1,M,-1,1,2634780.0,0.0,2634780.0,92_blackwell_moe_gemm_rcgrouped
RCGrouped-FP8,1SM,4096,6144,61440,imbalanced,968,15360,3840.0,2,1,M,-1,0,2622590.0,3288140.0,3288140.0,92_blackwell_moe_gemm_rcgrouped
RCGrouped-FP8,2SM,4096,6144,61440,imbalanced,968,15360,3840.0,2,1,M,-1,0,2622590.0,3288140.0,3288140.0,92_blackwell_moe_gemm_rcgrouped
RCGrouped-FP8,1SM,4096,6144,61440,imbalanced,968,15360,3840.0,2,1,M,-1,1,2632080.0,3342290.0,3342290.0,92_blackwell_moe_gemm_rcgrouped
RCGrouped-FP8,2SM,4096,6144,61440,imbalanced,968,15360,3840.0,2,1,M,-1,1,2632080.0,3342290.0,3342290.0,92_blackwell_moe_gemm_rcgrouped
RCGrouped-FP8,1SM,4096,6144,61440,imbalanced,968,15360,3840.0,2,2,M,-1,0,2458160.0,3295330.0,3295330.0,92_blackwell_moe_gemm_rcgrouped
RCGrouped-FP8,2SM,4096,6144,61440,imbalanced,968,15360,3840.0,2,2,M,-1,0,2458160.0,3295330.0,3295330.0,92_blackwell_moe_gemm_rcgrouped
RCGrouped-FP8,1SM,4096,6144,61440,imbalanced,968,15360,3840.0,2,2,M,-1,1,2456930.0,3305000.0,3305000.0,92_blackwell_moe_gemm_rcgrouped
RCGrouped-FP8,2SM,4096,6144,61440,imbalanced,968,15360,3840.0,2,2,M,-1,1,2456930.0,3305000.0,3305000.0,92_blackwell_moe_gemm_rcgrouped
RCGrouped-FP8,1SM,4096,6144,61440,imbalanced,968,15360,3840.0,4,2,M,-1,0,2482050.0,3334610.0,3334610.0,92_blackwell_moe_gemm_rcgrouped
RCGrouped-FP8,2SM,4096,6144,61440,imbalanced,968,15360,3840.0,4,2,M,-1,0,2482050.0,3334610.0,3334610.0,92_blackwell_moe_gemm_rcgrouped
